ride_date,num_rides,avg_duration_min,day,day_of_week,month,obs_date,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2015-09-15,48729,17.1010236888369,15,Tuesday,9,2015-09-15,73.2,84.0,59.0,6.2,0.0
2015-04-19,21475,18.12943344974776,19,Sunday,4,2015-04-19,57.6,79.0,50.0,8.8,0.0
2015-08-25,41655,16.29378866082503,25,Tuesday,8,2015-08-25,80.6,88.0,73.0,8.3,0.0
2015-09-19,43011,23.090150194136378,19,Saturday,9,2015-09-19,73.9,84.9,69.1,7.7,0.0
2015-11-14,25299,17.232278614437995,14,Saturday,11,2015-11-14,47.8,59.0,45.0,16.2,0.0
2015-10-20,45376,16.729051334038555,20,Tuesday,10,2015-10-20,56.0,71.1,37.0,10.5,0.0
2015-08-09,32716,24.251738700737665,9,Sunday,8,2015-08-09,75.7,87.1,69.1,6.8,0.0
2015-02-05,9208,10.38994533738778,5,Thursday,2,2015-02-05,33.2,41.0,21.0,12.1,0.0
2015-08-14,39983,16.06932362920908,14,Friday,8,2015-08-14,78.9,88.0,69.1,5.2,0.0
2015-09-06,33199,20.810108738215,6,Sunday,9,2015-09-06,73.9,84.0,66.9,5.1,0.0
2015-06-07,30773,19.35456189950064,7,Sunday,6,2015-06-07,65.3,73.9,57.0,7.6,0.0
2015-07-21,38499,14.462454436045958,21,Tuesday,7,2015-07-21,86.0,95.0,80.1,6.3,0.0
2015-11-07,35586,21.318811236628633,7,Saturday,11,2015-11-07,65.9,75.0,57.0,9.2,0.0
2015-12-04,34737,14.553756321309653,4,Friday,12,2015-12-04,46.9,55.9,44.1,10.5,0.0
2015-05-02,25743,19.347873855675974,2,Saturday,5,2015-05-02,53.9,69.1,48.0,4.7,0.0
2015-10-10,39345,23.579905536493406,10,Saturday,10,2015-10-10,60.0,78.1,52.0,8.1,0.5
2015-10-31,31756,20.491124511903266,31,Saturday,10,2015-10-31,49.0,60.1,43.0,7.8,0.0
2015-03-06,5162,12.277776701536872,6,Friday,3,2015-03-06,21.0,41.0,15.1,7.1,0.38
2015-09-20,40462,22.248878371476117,20,Sunday,9,2015-09-20,73.3,80.1,69.1,10.8,0.0
2015-10-17,31809,20.511525564043716,17,Saturday,10,2015-10-17,52.9,64.0,48.0,11.6,0.0
2015-01-20,16129,10.797786595573193,20,Tuesday,1,2015-01-20,37.2,42.1,34.0,9.6,0.0
2015-09-25,51368,18.575825741057987,25,Friday,9,2015-09-25,68.5,81.0,63.0,9.7,0.0
2015-04-16,27180,13.467742825607065,16,Thursday,4,2015-04-16,56.5,70.0,46.9,7.4,0.0
2015-05-23,23910,20.412528927924157,23,Saturday,5,2015-05-23,59.3,75.0,50.0,11.5,0.0
2015-01-06,8739,10.582040279208147,6,Tuesday,1,2015-01-06,21.2,28.9,17.6,8.7,0.0
2015-03-18,13842,11.333388720319798,18,Wednesday,3,2015-03-18,33.7,37.9,28.9,19.6,0.01
2015-03-08,7898,13.692379927407789,8,Sunday,3,2015-03-08,40.2,48.0,35.1,8.4,0.0
2015-01-03,4478,10.921404644930773,3,Saturday,1,2015-01-03,35.2,42.1,30.9,8.1,0.0
2015-03-02,7283,11.29215524737974,2,Monday,3,2015-03-02,32.2,37.9,24.1,9.0,0.48
2015-06-28,20591,17.46726320560762,28,Sunday,6,2015-06-28,64.2,73.9,60.1,12.4,1.32
2015-09-11,47613,15.510684406919678,11,Friday,9,2015-09-11,72.4,81.0,66.0,8.8,0.52
2015-09-29,48725,17.201326150162473,29,Tuesday,9,2015-09-29,74.7,82.9,64.9,5.5,0.0
2015-07-30,31166,13.443922864660207,30,Thursday,7,2015-07-30,82.1,95.0,75.0,8.8,0.0
2015-04-14,22703,12.626147792509066,14,Tuesday,4,2015-04-14,59.3,64.9,46.9,7.0,0.0
2015-04-09,16546,11.794970587050244,9,Thursday,4,2015-04-09,39.3,46.0,37.0,12.4,0.0
2015-05-09,24329,19.63518982832559,9,Saturday,5,2015-05-09,58.0,79.0,53.1,8.4,0.0
2015-11-12,37319,13.343849424332552,12,Thursday,11,2015-11-12,55.2,60.1,50.0,8.0,0.23
2015-03-10,11781,12.056681662564015,10,Tuesday,3,2015-03-10,40.7,54.0,33.1,4.6,0.11
2015-04-22,21997,12.904648361140158,22,Wednesday,4,2015-04-22,58.8,66.9,50.0,8.9,0.07
2015-12-26,13914,23.21140697618705,26,Saturday,12,2015-12-26,54.5,64.0,50.0,7.7,0.03
2015-09-13,34794,20.105077503784177,13,Sunday,9,2015-09-13,72.6,79.0,68.0,8.8,0.22
2015-02-10,10328,10.637577459333851,10,Tuesday,2,2015-02-10,29.9,39.0,26.1,11.0,0.04
2015-03-31,14250,12.694670175438596,31,Tuesday,3,2015-03-31,42.8,55.0,34.0,9.6,0.0
2015-03-14,3906,12.147486772486774,14,Saturday,3,2015-03-14,43.6,51.8,37.4,7.1,0.21
2015-12-01,18399,12.88060492418066,1,Tuesday,12,2015-12-01,47.1,53.6,44.1,9.6,0.13
2015-12-22,22941,13.47154802900193,22,Tuesday,12,2015-12-22,56.8,62.6,55.0,6.4,0.0
2018-02-11,8809,11.403112347220652,11,Sunday,2,2018-02-11,45.6,60.1,37.9,4.7,0.82
2018-02-07,15289,10.588302047223491,7,Wednesday,2,2018-02-07,32.8,46.9,28.0,8.3,0.0
2018-02-23,25634,12.696981222855063,23,Friday,2,2018-02-23,37.8,41.0,37.0,9.1,0.11
2018-05-15,52826,16.032164085866807,15,Tuesday,5,2018-05-15,69.1,91.9,52.0,9.4,0.02
2018-05-23,72655,19.200669602917905,23,Wednesday,5,2018-05-23,66.2,82.0,55.9,5.1,0.42
2018-05-31,55794,13.872895532375049,31,Thursday,5,2018-05-31,64.0,77.0,60.1,7.1,0.0
2018-03-13,23137,11.048184005417008,13,Tuesday,3,2018-03-13,37.3,43.0,33.1,14.1,0.21
2018-04-02,22063,16.397754913958508,2,Monday,4,2018-04-02,39.8,59.0,32.0,8.1,0.4
